Census Tract Number, Total Population, Total Older Adults Age 65+, Percentage of Population Who Are Older Adults Age 65+, Total Older Adults Age 55+, Percentage of Population Who Are Older Adults Age 55+, Total Older Adults Age 65+ With Known Poverty Status, Older Adults Age 65+ Below Poverty Level, Percentage of Older Adults Age 65+ Below Poverty Level, Older Adults Age 65+ Living Alone, Percentage of Older Adults Age 65+ Living Alone, Total Population Age 5+, Residents Age 5+ with Limited English Proficiency, Percentage of Residents with Limited English Proficiency, Total Population with Known Poverty Status, Residents Below Poverty Level, Percentage of Residents Below Poverty Level, Total Population Age 25+, Residents Age 25+ without a High School Diploma or Equivalency, Percentage of Residents Age 25+ without a High School Diploma, Total Labor Force Age 16+, Unemployed Residents, Unemployment Rate, Total Males 65+, Number of Older Adult Men Age 65+ Who Are Up to Date on Core Set of Clinical Preventive Services, Percentage of Older Men Age 65+ Who Are Up to Date on Core Set of Clinical Preventive Services, Total Females 65+, Number of Older Adult Women Age 65+ Who Are Up to Date on Core Set of Clinical Preventive Services, Percentage of Older Women Age 65+ Who Are Up to Date on Core Set of Clinical Preventive Services, Total Older Adults 50-74, Older Adults Age 50-75 Fecal Occult Blood Test Sigmoidoscopy or Colonoscopy, Percentage of Older Adults Age 50-75 Fecal Occult Blood Test Sigmoidoscopy or Colonoscopy, Total Females 50-74, Women Age 50-75 Mammogram Use, Percentage of Women Age 50-75 Mammogram Use, Older Adults Age 65+ With All Teeth Lost, Percentage of Older Adults Age 65+ With All Teeth Lost
36081002500,7411,1101,14.9,1950,26.3,1101,553,50.2,476,43.2,6937,1623,23.4,7411,2857,38.6,4704,1422,30.2,5771,1061.9,18.4,428,16.7,3.9,673,16.8,2.5,2149,46.6,2.2,1368,79.9,5.8,31.5,2.9
36081025400,9722,1176,12.1,2395,24.6,1176,152,12.9,360,30.6,9223,1709,18.5,9722,1587,16.3,6103,1309,21.4,7735,1577.9,20.4,378,20.5,5.4,798,22.1,2.8,2241,57.9,2.6,1306,81.6,6.2,22.8,1.9
36081008700,5089,405,8.0,901,17.7,405,137,33.8,166,41.0,4450,862,19.4,5089,1838,36.1,2704,1004,37.1,3643,597.5,16.4,122,18.6,15.2,283,18.6,6.6,1151,48.8,4.2,787,80.7,10.3,28.7,7.1
36081016300,3558,927,26.1,1493,42.0,927,285,30.7,289,31.2,3413,1187,34.8,3558,1090,30.6,2920,1121,38.4,3165,269.0,8.5,339,20.2,6.0,588,19.9,3.4,1247,49.8,4.0,845,78.0,9.2,24.3,2.6
36081004700,4037,638,15.8,998,24.7,638,137,21.5,269,42.2,3858,899,23.3,4037,750,18.6,2812,652,23.2,3151,318.3,10.1,247,24.2,9.8,391,23.2,5.9,1115,56.9,5.1,709,80.0,11.3,17.6,2.8
36081097204,3741,726,19.4,1321,35.3,368,44,12.0,84,11.6,3484,598,17.2,3162,580,18.3,2774,894,32.2,2954,525.8,17.8,239,21.9,9.2,487,22.0,4.5,1299,58.6,4.5,706,80.9,11.5,23.3,3.2
36081122702,8227,1069,13.0,2057,25.0,1069,234,21.9,360,33.7,7668,1880,24.5,8227,2902,35.3,5055,1134,22.4,6061,733.4,12.1,364,23.5,6.5,705,22.2,3.1,1848,55.1,3.0,1151,79.5,6.9,22.0,2.1
36081087100,2350,241,10.3,490,20.9,241,74,30.7,107,44.4,2170,1071,49.4,2344,637,27.2,1612,366,22.7,1911,78.4,4.1,110,22.6,20.5,131,21.7,16.6,572,51.4,9.0,344,78.3,22.8,18.1,7.5
36081094202,4617,341,7.4,707,15.3,341,70,20.5,76,22.3,4189,349,8.3,4614,996,21.6,2756,427,15.5,3269,294.2,9.0,96,23.8,24.8,245,24.2,9.9,904,57.1,6.3,484,81.1,16.8,17.0,5.0
36081025400,9722,1176,12.1,2395,24.6,1176,152,12.9,360,30.6,9223,1709,18.5,9722,1587,16.3,6103,1309,21.4,7735,1577.9,20.4,378,20.5,5.4,798,22.1,2.8,2241,57.9,2.6,1306,81.6,6.2,22.8,1.9
